gender,age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,28,4,4,1,4,1,4,4,1,1,1
2,13,1,1,4,2,4,1,2,3,4,4
2,21,3,3,2,3,2,2,3,3,3,3
2,16,3,3,1,3,1,3,2,1,0,1
1,21,4,4,2,0,3,4,3,3,3,3
1,21,2,3,4,2,4,2,3,4,4,3
2,25,4,4,2,4,3,3,3,3,3,3
1,18,3,2,2,3,3,2,2,3,4,4
1,16,3,3,2,2,3,2,2,4,3,3
1,25,1,2,4,2,4,1,4,4,4,3
2,24,1,2,4,2,4,3,4,3,4,4
2,19,3,3,4,2,3,2,2,2,3,3
2,22,3,3,3,3,2,2,2,4,3,3
2,26,2,2,4,1,3,2,1,3,4,4
1,17,3,3,3,4,2,4,4,2,3,3
2,16,4,3,2,3,3,4,3,3,3,3
1,24,2,3,4,2,3,2,1,3,4,4
2,30,3,4,2,4,2,3,3,1,1,1
2,16,3,3,2,3,3,2,2,3,3,4
1,23,2,3,3,2,4,1,1,4,4,4
2,26,3,3,1,3,2,3,3,2,3,3
1,16,3,4,2,4,2,3,3,3,3,3
2,21,2,3,1,2,4,1,2,4,4,3
2,26,2,3,2,3,3,1,2,4,3,3
2,19,4,3,2,4,4,4,3,3,4,3
3,15,4,3,2,3,2,3,0,2,2,2
2,20,3,3,3,2,3,2,1,2,3,4
2,16,4,3,1,3,2,3,3,3,3,2
2,23,3,3,2,3,1,3,3,2,3,2
2,20,2,3,3,3,3,3,2,2,3,3
2,20,4,3,1,4,1,4,3,3,1,2
2,22,1,3,4,2,3,2,2,3,4,4
1,16,4,4,4,4,1,4,4,4,1,1
2,16,3,3,2,3,2,3,3,3,3,3
2,23,4,4,1,4,2,4,4,2,2,3
1,18,3,2,2,3,3,2,3,3,4,4
1,25,4,4,1,3,2,3,3,2,2,3
2,18,4,3,2,3,2,4,3,2,2,3
2,18,3,3,2,3,2,3,3,3,3,2
2,15,4,4,2,3,4,4,4,2,2,1
2,23,2,3,2,1,3,2,2,3,3,3
1,19,4,4,1,4,1,4,4,1,2,3
2,22,2,3,4,2,3,2,2,3,3,4
1,14,3,2,3,2,2,2,2,3,3,2
2,20,4,4,2,4,1,4,4,1,3,3
2,18,3,3,2,3,3,2,2,3,3,3
2,22,1,1,3,4,4,1,1,4,4,4
2,22,4,4,2,4,1,3,3,3,2,3
2,17,3,3,2,4,2,3,2,3,2,3
2,14,1,2,4,3,4,1,1,4,4,4
1,27,4,4,1,2,1,2,2,2,3,2
1,13,3,3,2,1,2,3,2,3,4,4
2,23,4,4,3,3,3,3,4,4,3,3
2,15,1,1,4,1,4,1,1,3,4,4
2,21,3,3,2,4,4,3,2,4,4,4
2,30,3,2,3,3,4,2,1,3,3,3
2,19,2,3,2,4,3,3,2,3,2,1
1,18,3,2,2,2,2,3,3,3,3,3
1,20,4,4,2,3,3,2,3,3,3,2
2,18,4,3,2,3,2,3,2,2,2,2
1,17,4,4,3,3,3,3,2,4,3,3
2,14,1,3,3,3,3,1,1,2,4,4
2,21,4,4,2,3,3,3,3,1,2,1
2,20,3,3,2,3,2,3,3,3,3,3
1,15,2,2,3,3,3,2,3,3,3,3
2,17,1,1,4,1,4,1,1,1,4,4
1,16,3,3,2,2,2,3,2,3,3,3
2,15,3,2,3,3,3,2,2,3,4,4
2,27,4,3,2,3,2,3,3,4,3,2
2,17,3,3,3,3,3,2,1,4,4,4
2,19,3,3,2,3,2,3,3,2,2,2
2,28,3,3,2,2,3,3,3,3,3,2
1,19,3,3,3,2,3,2,3,4,4,4
1,25,3,3,2,3,3,3,3,2,2,2
1,18,2,3,2,3,3,3,2,3,3,3
1,18,2,3,1,3,3,4,3,2,1,1
2,29,3,3,2,3,2,3,2,3,4,4
1,14,1,2,3,2,4,1,1,3,4,4
1,21,3,4,2,3,2,3,3,3,4,3
3,15,3,3,4,2,3,2,2,4,4,4
2,21,3,3,3,3,2,2,2,3,3,2
2,25,3,2,3,3,2,2,2,4,3,2
